Dependencia,count,mean,std,min,25%,50%,75%,max
CENTRO DE DESARROLLO EMPRESARIAL,182.0,17818.52824175824,13940.699041876522,4295.0,11369.497500000001,12818.64,15862.8975,70097.21
DIRECCIÓN DE EMPRENDIMIENTO Y DESARROLLO EMPRESARIAL,156.0,12579.836858974359,4921.723818626153,2890.03,8727.8475,11579.425,16193.2,26971.67
DIRECCIÓN DE INNOVACIÓN Y DESARROLLO DE MODELOS TECNOLÓGICOS,154.0,11331.972662337663,4591.773672392957,1855.44,8170.717500000001,10590.675,12381.47,29739.15
CENTRO DE VINCULACION SOCIAL Y EMPRESARIAL,147.0,15046.292653061224,11265.906659456276,2809.47,8156.91,9407.48,20124.625,42621.55
JUNTA DE GOBIERNO,142.0,9432.126126760564,2389.8157139957,3702.8,7871.595,9223.75,10399.057499999999,18726.03
DIRECCIÓN DE ESTUDIOS INCORPORADOS,119.0,10627.035546218489,2799.185992599258,3615.63,8175.335,11041.59,12013.41,20415.87
DIRECCIÓN DE INNOVACIÓN EDUCATIVA,102.0,19551.644901960786,14014.105719225654,1972.5,10647.28,14147.78,25936.0675,72839.72
WORLD TRADE CENTER MONTEREY-UANL,88.0,15711.140227272728,11753.817679319753,7184.08,10607.715,11496.195,14019.56,58697.17
DIRECCIÓN DE ADMINISTRACIÓN DE CALIDAD,80.0,16419.518875,10041.698111683847,10031.32,11155.445,11996.65,15917.9675,51832.66
DIRECCIÓN DE INNOVACIÓN Y EMPRENDIMIENTO,72.0,17395.44138888889,13166.878916955813,6590.64,7456.3275,13301.86,19940.84,58465.93
DIRECCION TECNICA DE LA RECTORIA,64.0,14785.362031249999,4090.0600159601727,8987.94,12552.53,14839.619999999999,16209.75,25491.41
DIRECCIÓN DE DESARROLLO INSTITUCIONAL ACADÉMICO,64.0,17075.35109375,5482.2256891936095,5571.06,13011.157500000001,14170.325,21718.44,29949.51
DIRECCIÓN ADMINISTRATIVA DE LA SIID,56.0,27286.8475,14274.005248167638,9464.53,12570.64,23606.875,41692.47,57692.99
DIRECCIÓN DE DESARROLLO DE MODELOS TECNOLÓGICOS,52.0,26102.06096153846,22565.88479961143,6704.95,7229.5025000000005,11746.13,51947.92,71969.19
DIRECCIÓN DE EDUCACIÓN INCLUSIVA,44.0,14587.939545454545,9056.68667339502,1383.92,11519.76,12640.765,15699.21,53305.67
DIRECCIÓN DE INVESTIGACIÓN EDUCATIVA,32.0,30192.215,24540.701894933518,11424.85,13195.33,14917.17,62321.932499999995,82985.33
SECRETARÍA DE IGUALDAD E INCLUSIÓN,24.0,12780.402916666666,4763.174742647541,3445.96,8627.9725,11726.24,15361.8425,25681.21
DIRECCIÓN DE PLANEACIÓN ESTRATÉGICA EN INNOVACIÓN,22.0,8792.027727272729,2051.2541517602435,6482.2,6840.66,9172.650000000001,10385.23,13266.21
CENTRO DE DESARROLLO INTEGRAL DEL ESTUDIANTE,16.0,14192.695625,4373.274965740539,5193.72,12714.3325,15036.619999999999,16428.0875,21989.8
DIRECCION RESPONSABILIDAD SOCIAL UNIVERSITARIA (SS),13.0,29785.789999999997,23277.247290114654,9212.01,12552.53,13245.58,55426.41,59608.67
DIRECCIÓN DE LA UNIDAD PARA LA IGUALDAD DE GÉNERO,12.0,12844.7875,2571.7225914554383,11335.53,11630.0225,11818.46,12043.0625,18490.34
DIRECCION DE UNIDADES ACADEMICAS,2.0,48706.9,7710.546900499342,43254.72,45980.81,48706.9,51432.990000000005,54159.08
